start,end,duration,note,midi,frequency_hz,estimated_midi,confidence,method
0.342,0.493,0.151,D7,98,2349.32,97.91,0.25,energy_centroid
0.906,1.039,0.134,D7,98,2349.32,97.76,0.25,energy_centroid
1.451,1.591,0.139,D7,98,2349.32,97.73,0.25,energy_centroid
2.02,2.159,0.139,D7,98,2349.32,98.24,0.25,energy_centroid
2.577,2.734,0.157,D7,98,2349.32,98.41,0.25,energy_centroid
3.17,3.291,0.122,D7,98,2349.32,98.06,0.25,energy_centroid
3.721,3.866,0.145,D#7,99,2489.02,98.85,0.25,energy_centroid
4.278,4.429,0.151,E7,100,2637.02,100.05,0.25,energy_centroid
4.841,4.981,0.139,D#7,99,2489.02,99.07,0.25,energy_centroid
5.41,5.544,0.134,D7,98,2349.32,97.86,0.25,energy_centroid
6.235,6.339,0.104,C#7,97,2217.46,97.35,0.25,energy_centroid
6.757,6.896,0.139,D7,98,2349.32,97.91,0.25,energy_centroid
7.332,7.471,0.139,D#7,99,2489.02,98.51,0.25,energy_centroid
7.883,8.017,0.134,C#7,97,2217.46,97.37,0.25,energy_centroid
8.429,8.58,0.151,D#7,99,2489.02,98.72,0.25,energy_centroid
9.009,9.16,0.151,D#7,99,2489.02,98.8,0.25,energy_centroid
9.59,9.718,0.128,D7,98,2349.32,98.35,0.25,energy_centroid
