start,end,duration,note,midi,frequency_hz,estimated_midi,confidence,method
0.958,1.109,0.151,C7,96,2093.0,96.0,0.25,energy_centroid
1.521,1.654,0.134,C7,96,2093.0,96.0,0.25,energy_centroid
2.067,2.206,0.139,C7,96,2093.0,96.0,0.25,energy_centroid
2.635,2.775,0.139,C7,96,2093.0,96.0,0.25,energy_centroid
3.187,3.344,0.157,C7,96,2093.0,96.0,0.25,energy_centroid
3.779,3.907,0.128,C7,96,2093.0,96.0,0.25,energy_centroid
4.331,4.476,0.145,C7,96,2093.0,96.0,0.25,energy_centroid
4.894,5.045,0.151,C7,96,2093.0,96.0,0.25,energy_centroid
5.457,5.596,0.139,C7,96,2093.0,96.0,0.25,energy_centroid
6.026,6.159,0.134,C7,96,2093.0,96.0,0.25,energy_centroid
6.844,6.949,0.104,C7,96,2093.0,96.0,0.25,energy_centroid
7.372,7.512,0.139,C7,96,2093.0,96.0,0.25,energy_centroid
7.941,8.086,0.145,C7,96,2093.0,96.0,0.25,energy_centroid
8.493,8.632,0.139,C7,96,2093.0,96.0,0.25,energy_centroid
9.044,9.195,0.151,C7,96,2093.0,96.0,0.25,energy_centroid
9.625,9.77,0.145,C7,96,2093.0,96.0,0.25,energy_centroid
10.199,10.333,0.134,C7,96,2093.0,96.0,0.25,energy_centroid
10.728,10.89,0.163,C7,96,2093.0,96.0,0.25,energy_centroid
11.302,11.465,0.163,C7,96,2093.0,96.0,0.25,energy_centroid
11.865,12.051,0.186,C7,96,2093.0,96.0,0.25,energy_centroid
12.458,12.632,0.174,C7,96,2093.0,96.0,0.25,energy_centroid
13.044,13.218,0.174,C7,96,2093.0,96.0,0.25,energy_centroid
13.648,13.81,0.163,C7,96,2093.0,96.0,0.25,energy_centroid
14.228,14.338,0.11,C7,96,2093.0,96.0,0.25,energy_centroid
15.052,15.18,0.128,C7,96,2093.0,96.0,0.25,energy_centroid
15.546,15.685,0.139,C7,96,2093.0,96.0,0.25,energy_centroid
16.068,16.225,0.157,C7,96,2093.0,96.0,0.25,energy_centroid
16.614,16.753,0.139,C7,96,2093.0,96.0,0.25,energy_centroid
17.131,17.252,0.122,C7,96,2093.0,96.0,0.25,energy_centroid
17.81,18.001,0.192,C7,96,2093.0,96.0,0.25,energy_centroid
18.477,18.593,0.116,C7,96,2093.0,96.0,0.25,energy_centroid
19.04,19.162,0.122,C7,96,2093.0,96.0,0.25,energy_centroid
19.586,19.714,0.128,C7,96,2093.0,96.0,0.25,energy_centroid
20.114,20.242,0.128,C7,96,2093.0,96.0,0.25,energy_centroid
20.637,20.759,0.122,C7,96,2093.0,96.0,0.25,energy_centroid
21.275,21.362,0.087,C7,96,2093.0,96.0,0.25,energy_centroid
21.751,21.885,0.134,C7,96,2093.0,96.0,0.25,energy_centroid
22.274,22.425,0.151,C7,96,2093.0,96.0,0.25,energy_centroid
22.831,23.017,0.186,C7,96,2093.0,96.0,0.25,energy_centroid
23.47,23.638,0.168,C7,96,2093.0,96.0,0.25,energy_centroid
24.015,24.201,0.186,C7,96,2093.0,96.0,0.25,energy_centroid
24.607,24.758,0.151,C7,96,2093.0,96.0,0.25,energy_centroid
25.165,25.35,0.186,C7,96,2093.0,96.0,0.25,energy_centroid
25.797,25.925,0.128,C7,96,2093.0,96.0,0.25,energy_centroid
26.337,26.471,0.134,C7,96,2093.0,96.0,0.25,energy_centroid
26.941,27.103,0.163,C7,96,2093.0,96.0,0.25,energy_centroid
27.649,27.754,0.104,C7,96,2093.0,96.0,0.25,energy_centroid
28.77,28.932,0.163,C7,96,2093.0,96.0,0.25,energy_centroid
29.524,29.71,0.186,C7,96,2093.0,96.0,0.25,energy_centroid
30.174,30.366,0.192,C7,96,2093.0,96.0,0.25,energy_centroid
30.836,30.999,0.163,C7,96,2093.0,96.0,0.25,energy_centroid
31.44,31.608,0.168,C7,96,2093.0,96.0,0.25,energy_centroid
32.084,32.27,0.186,C7,96,2093.0,96.0,0.25,energy_centroid
32.694,32.833,0.139,C7,96,2093.0,96.0,0.25,energy_centroid
33.239,33.367,0.128,C7,96,2093.0,96.0,0.25,energy_centroid
33.82,33.948,0.128,C7,96,2093.0,96.0,0.25,energy_centroid
34.424,34.615,0.192,C7,96,2093.0,96.0,0.25,energy_centroid
35.12,35.219,0.099,C7,96,2093.0,96.0,0.25,energy_centroid
35.939,36.037,0.099,C7,96,2093.0,96.0,0.25,energy_centroid
36.502,36.589,0.087,C7,96,2093.0,96.0,0.25,energy_centroid
37.82,37.97,0.151,C7,96,2093.0,96.0,0.25,energy_centroid
39.219,39.375,0.157,C7,96,2093.0,96.0,0.25,energy_centroid
39.863,40.054,0.192,C7,96,2093.0,96.0,0.25,energy_centroid
