start,end,duration,note,midi,frequency_hz,estimated_midi,confidence,method
1.103,1.324,0.221,D5,74,587.33,74.4,0.686,
1.324,1.625,0.302,C5,72,523.25,71.9,0.946,
1.741,1.852,0.11,C5,72,523.25,71.9,0.485,
2.676,2.908,0.232,D#5,75,622.25,74.8,0.827,
2.908,3.14,0.232,C5,72,523.25,72.1,0.891,
3.477,3.558,0.081,C5,72,523.25,72.3,0.326,
4.063,4.313,0.25,D#5,75,622.25,74.85,0.686,
4.313,5.079,0.766,C5,72,523.25,72.3,0.549,
5.486,5.735,0.25,D#5,75,622.25,74.8,0.827,
5.735,6.136,0.401,C5,72,523.25,72.3,0.686,
6.235,6.531,0.296,C5,72,523.25,72.4,0.323,
7.012,7.187,0.174,D#5,75,622.25,74.9,0.827,
7.256,8.057,0.801,C5,72,523.25,72.2,0.339,
8.516,8.766,0.25,D#5,75,622.25,74.8,0.757,
8.766,9.584,0.819,C5,72,523.25,72.25,0.372,
