start,end,duration,note,midi,frequency_hz,estimated_midi,confidence,method
0.58,0.993,0.412,A6,93,1760.0,93.4,0.946,
0.998,1.074,0.075,E7,100,2637.02,99.6,0.891,
1.115,1.335,0.221,C7,96,2093.0,96.15,0.946,
1.341,1.672,0.331,G7,103,3135.96,102.6,0.399,
1.834,1.927,0.093,G#6,92,1661.22,92.15,0.651,
2.032,2.229,0.197,F#6,90,1479.98,89.6,0.372,
2.229,2.554,0.325,C#7,97,2217.46,96.8,0.985,
2.554,2.67,0.116,B6,95,1975.53,95.2,0.616,
2.67,2.972,0.302,C#7,97,2217.46,97.4,0.946,
6.031,6.13,0.099,C7,96,2093.0,96.5,0.549,
6.293,6.368,0.075,C#7,97,2217.46,97.2,0.946,
6.426,6.716,0.29,C7,96,2093.0,96.0,1.0,
6.722,6.92,0.197,G7,103,3135.96,102.9,0.549,
7.175,7.338,0.163,G6,91,1567.98,91.2,0.985,
7.338,7.483,0.145,B6,95,1975.53,94.7,0.985,
7.483,7.75,0.267,C#7,97,2217.46,96.55,1.0,
7.75,8.115,0.366,A#6,94,1864.66,94.5,0.946,
8.121,8.365,0.244,B6,95,1975.53,95.3,0.236,
8.365,8.44,0.075,A6,93,1760.0,92.7,0.372,
8.516,8.597,0.081,G#6,92,1661.22,92.03,0.375,
8.62,8.725,0.104,F#6,90,1479.98,89.75,0.756,
8.76,8.916,0.157,C7,96,2093.0,95.7,0.549,
8.916,9.178,0.261,D#7,99,2489.02,98.6,0.946,
9.271,9.346,0.075,G7,103,3135.96,102.55,0.109,
