start,end,duration,note,midi,frequency_hz,estimated_midi,confidence,method
1.219,1.341,0.122,G#6,92,1661.22,92.4,0.757,
1.382,1.556,0.174,B6,95,1975.53,95.05,0.55,
1.649,1.997,0.348,D6,86,1174.66,85.8,0.634,
2.072,2.177,0.104,C#6,85,1108.73,84.9,0.455,
3.46,3.675,0.215,F6,89,1396.91,88.9,0.616,
3.709,3.924,0.215,D5,74,587.33,74.0,0.485,
7.041,7.169,0.128,A#6,94,1864.66,94.0,0.891,
7.192,7.61,0.418,A#6,94,1864.66,93.8,0.891,
7.622,7.715,0.093,C#6,85,1108.73,85.05,0.419,
8.226,8.423,0.197,A6,93,1760.0,93.0,0.859,
8.667,8.818,0.151,F#6,90,1479.98,89.9,0.549,
9.027,9.189,0.163,G#6,92,1661.22,91.5,0.827,
9.607,9.735,0.128,A#6,94,1864.66,94.05,0.651,
10.188,10.379,0.192,G#6,92,1661.22,92.4,0.827,
15.807,15.923,0.116,B6,95,1975.53,94.6,0.582,
15.929,16.039,0.11,F#6,90,1479.98,89.9,0.549,
16.364,16.567,0.203,G#6,92,1661.22,92.5,0.616,
16.643,17.177,0.534,D6,86,1174.66,86.5,0.686,
17.508,17.63,0.122,B6,95,1975.53,95.35,0.333,
21.566,21.653,0.087,G#6,92,1661.22,91.7,0.827,
21.653,21.757,0.104,B6,95,1975.53,94.6,0.891,
21.885,22.082,0.197,D6,86,1174.66,85.8,0.881,
22.61,22.785,0.174,A6,93,1760.0,92.9,0.919,
23.11,23.504,0.395,B6,95,1975.53,95.0,0.946,
24.573,24.665,0.093,A6,93,1760.0,92.8,0.891,
28.967,29.17,0.203,A#6,94,1864.66,94.1,0.891,
29.176,29.396,0.221,D6,86,1174.66,86.4,0.685,
29.396,29.571,0.174,E6,88,1318.51,87.8,0.985,
29.954,30.244,0.29,B6,95,1975.53,95.4,0.946,
30.261,30.354,0.093,F#6,90,1479.98,89.75,0.549,
31.527,31.718,0.192,A#6,94,1864.66,93.8,0.686,
35.944,36.061,0.116,A6,93,1760.0,93.25,0.946,
36.229,36.629,0.401,B6,95,1975.53,94.9,0.549,
36.688,36.769,0.081,E6,88,1318.51,88.2,0.722,
37.616,37.698,0.081,D#6,87,1244.51,86.65,0.372,
38.121,38.255,0.134,E6,88,1318.51,87.97,0.517,
43.427,43.595,0.168,A#6,94,1864.66,93.6,0.985,
43.828,43.944,0.116,B6,95,1975.53,94.7,0.891,
44.321,44.437,0.116,B6,95,1975.53,95.0,0.372,
48.779,48.872,0.093,G6,91,1567.98,91.45,0.891,
49.128,49.377,0.25,C6,84,1046.5,83.5,0.946,
49.435,49.528,0.093,D6,86,1174.66,86.25,0.649,
49.998,50.219,0.221,A#6,94,1864.66,93.9,0.985,
50.66,50.747,0.087,D6,86,1174.66,86.2,0.615,
51.194,51.293,0.099,B6,95,1975.53,95.4,0.891,
51.374,51.479,0.104,A#6,94,1864.66,94.5,0.859,
55.513,55.594,0.081,C7,96,2093.0,95.6,0.891,
55.821,55.978,0.157,D#6,87,1244.51,87.2,0.757,
56.564,56.761,0.197,B6,95,1975.53,95.2,0.827,
57.771,57.882,0.11,B6,95,1975.53,95.4,0.686,
58.015,58.247,0.232,D#6,87,1244.51,87.0,0.426,
62.259,62.462,0.203,A#6,94,1864.66,94.0,0.985,
63.065,63.199,0.134,C#6,85,1108.73,85.0,0.394,
63.269,63.721,0.453,B6,95,1975.53,95.2,0.985,
69.027,69.161,0.134,A#6,94,1864.66,94.0,0.891,
69.195,69.521,0.325,A#6,94,1864.66,93.8,0.891,
69.59,69.677,0.087,C#6,85,1108.73,85.3,0.403,
69.956,70.113,0.157,D6,86,1174.66,86.5,0.571,
70.217,70.38,0.163,G#6,92,1661.22,91.9,0.946,
70.96,71.059,0.099,B6,95,1975.53,94.6,0.549,
75.639,75.761,0.122,B6,95,1975.53,95.4,0.946,
75.831,75.97,0.139,A#6,94,1864.66,94.4,0.919,
76.074,76.353,0.279,D6,86,1174.66,85.7,0.412,
76.51,76.597,0.087,G#6,92,1661.22,91.6,0.827,
76.597,76.736,0.139,B6,95,1975.53,95.0,0.485,
76.736,76.823,0.087,G#6,92,1661.22,92.2,0.827,
76.939,77.102,0.163,B6,95,1975.53,95.2,0.985,
78.507,78.658,0.151,B6,95,1975.53,95.1,0.616,
78.797,78.884,0.087,F#6,90,1479.98,89.55,0.421,
83.511,83.598,0.087,B6,95,1975.53,94.8,0.426,
83.807,84.184,0.377,A#6,94,1864.66,94.4,0.827,
84.277,84.492,0.215,G#6,92,1661.22,92.2,0.946,
84.515,84.712,0.197,E6,88,1318.51,88.3,0.517,
84.921,85.031,0.11,A#6,94,1864.66,94.0,0.827,
85.299,85.507,0.209,D6,86,1174.66,85.8,0.56,
85.751,85.978,0.226,D5,74,587.33,73.8,0.616,
86.947,87.208,0.261,G#6,92,1661.22,91.6,0.426,
91.713,91.876,0.163,A#6,94,1864.66,94.0,0.985,
92.932,93.217,0.284,D6,86,1174.66,86.3,0.686,
93.542,93.658,0.116,B6,95,1975.53,95.4,0.241,
97.292,97.425,0.134,F#6,90,1479.98,89.5,0.946,
97.489,97.588,0.099,A#6,94,1864.66,93.5,0.946,
97.669,97.849,0.18,C6,84,1046.5,83.5,0.891,
97.855,98.046,0.192,E6,88,1318.51,87.8,0.827,
98.348,98.516,0.168,A6,93,1760.0,93.2,0.946,
99.312,99.619,0.308,B6,95,1975.53,94.6,0.891,
