start,end,duration,note,midi,frequency_hz,estimated_midi,confidence,method
0.229,0.357,0.128,G#7,104,3322.44,103.55,0.485,
0.437,0.667,0.229,D7,98,2349.32,97.6,0.347,
0.672,0.901,0.229,A7,105,3520.0,104.9,0.686,
0.901,1.173,0.272,D7,98,2349.32,97.8,0.476,
1.173,1.451,0.277,G#7,104,3322.44,103.9,0.485,
1.483,1.653,0.171,D7,98,2349.32,97.5,0.279,
1.653,1.925,0.272,G#7,104,3322.44,104.3,0.616,
2.112,2.405,0.293,A7,105,3520.0,105.1,0.485,
2.405,2.645,0.24,D7,98,2349.32,97.75,0.421,
2.645,2.747,0.101,A7,105,3520.0,104.9,0.616,
2.747,2.885,0.139,G7,103,3135.96,103.0,0.372,
2.891,3.227,0.336,D7,98,2349.32,97.7,0.394,
5.067,5.195,0.128,G7,103,3135.96,102.75,0.686,
5.312,5.52,0.208,D7,98,2349.32,97.5,0.272,
5.525,5.787,0.261,G#7,104,3322.44,104.4,0.616,
5.787,6.037,0.251,D7,98,2349.32,97.7,0.441,
6.037,6.272,0.235,G7,103,3135.96,103.2,0.517,
6.293,6.635,0.341,D7,98,2349.32,97.5,0.332,
8.752,8.837,0.085,A7,105,3520.0,104.55,0.549,
8.997,9.189,0.192,C#7,97,2217.46,97.2,0.167,
9.211,9.445,0.235,A#7,106,3729.31,105.5,0.616,
9.451,9.643,0.192,D7,98,2349.32,97.6,0.347,
9.659,9.904,0.245,A7,105,3520.0,104.95,0.616,
9.904,10.112,0.208,D7,98,2349.32,97.7,0.426,
10.117,10.4,0.283,A7,105,3520.0,105.3,0.616,
10.405,10.741,0.336,D7,98,2349.32,97.6,0.412,
